search_stage,dataset_id,dataset_label,source_path,profile_id,family,description,preselection_method,seed,is_baseline,requested_drop_low_tail_models_quantile,requested_min_item_sd,requested_max_item_mean,requested_min_abs_point_biserial,requested_min_models_per_item,requested_min_item_coverage
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,7,True,,,0.99,0.0,10,
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,11,True,,,0.99,0.0,10,
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,19,True,,,0.99,0.0,10,
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,7,False,0.0,0.0,0.99,0.0,10,0.7
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,11,False,0.0,0.0,0.99,0.0,10,0.7
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,19,False,0.0,0.0,0.99,0.0,10,0.7
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,7,True,,,0.99,0.0,10,
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,11,True,,,0.99,0.0,10,
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,19,True,,,0.99,0.0,10,
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,7,False,0.0,0.0,0.99,0.0,10,0.7
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,11,False,0.0,0.0,0.99,0.0,10,0.7
compact_validation,compact_validation_fixture,compact validation fixture,tests/data/metabench_validation/responses_long.csv,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,19,False,0.0,0.0,0.99,0.0,10,0.7
