left_benchmark_id,right_benchmark_id,shared_model_count
dense_b1,dense_b1,320
dense_b1,dense_b2,320
dense_b1,dense_b3,320
dense_b1,dense_b4,320
dense_b1,dense_b5,320
dense_b2,dense_b1,320
dense_b2,dense_b2,320
dense_b2,dense_b3,320
dense_b2,dense_b4,320
dense_b2,dense_b5,320
dense_b3,dense_b1,320
dense_b3,dense_b2,320
dense_b3,dense_b3,320
dense_b3,dense_b4,320
dense_b3,dense_b5,320
dense_b4,dense_b1,320
dense_b4,dense_b2,320
dense_b4,dense_b3,320
dense_b4,dense_b4,320
dense_b4,dense_b5,320
dense_b5,dense_b1,320
dense_b5,dense_b2,320
dense_b5,dense_b3,320
dense_b5,dense_b4,320
dense_b5,dense_b5,320
