left_benchmark_id,right_benchmark_id,shared_model_count
sparse_b1,sparse_b1,180
sparse_b1,sparse_b2,110
sparse_b1,sparse_b3,80
sparse_b1,sparse_b4,80
sparse_b1,sparse_b5,80
sparse_b1,sparse_b6,80
sparse_b2,sparse_b1,110
sparse_b2,sparse_b2,210
sparse_b2,sparse_b3,110
sparse_b2,sparse_b4,80
sparse_b2,sparse_b5,80
sparse_b2,sparse_b6,80
sparse_b3,sparse_b1,80
sparse_b3,sparse_b2,110
sparse_b3,sparse_b3,210
sparse_b3,sparse_b4,110
sparse_b3,sparse_b5,80
sparse_b3,sparse_b6,80
sparse_b4,sparse_b1,80
sparse_b4,sparse_b2,80
sparse_b4,sparse_b3,110
sparse_b4,sparse_b4,210
sparse_b4,sparse_b5,110
sparse_b4,sparse_b6,80
sparse_b5,sparse_b1,80
sparse_b5,sparse_b2,80
sparse_b5,sparse_b3,80
sparse_b5,sparse_b4,110
sparse_b5,sparse_b5,210
sparse_b5,sparse_b6,110
sparse_b6,sparse_b1,80
sparse_b6,sparse_b2,80
sparse_b6,sparse_b3,80
sparse_b6,sparse_b4,80
sparse_b6,sparse_b5,110
sparse_b6,sparse_b6,180
