benchmark_id,model_type,method,seed,split,row_count,rmse,mae,pearson_r,spearman_r,runtime_seconds,skipped,skip_reason,hyperparameters
arc,joint,elastic_net,7,test,464,1.0432928600837401,0.7309143506145976,0.997449130425601,0.9966053379336236,0.763005584012717,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
arc,joint,elastic_net,7,train,3751,0.9666054716961454,0.7025496404177067,0.9977123514669115,0.996721721109931,0.763005584012717,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
arc,joint,elastic_net,7,val,419,0.969187921967326,0.7261285036032439,0.9976556253220501,0.9961316516357116,0.763005584012717,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
arc,joint,elastic_net,11,test,464,1.0432928600837401,0.7309143506145976,0.997449130425601,0.9966053379336236,0.7607287500286475,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
arc,joint,elastic_net,11,train,3751,0.9666054716961454,0.7025496404177067,0.9977123514669115,0.996721721109931,0.7607287500286475,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
arc,joint,elastic_net,11,val,419,0.969187921967326,0.7261285036032439,0.9976556253220501,0.9961316516357116,0.7607287500286475,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
arc,joint,elastic_net,19,test,464,1.0432928600837401,0.7309143506145976,0.997449130425601,0.9966053379336236,0.7622824170393869,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
arc,joint,elastic_net,19,train,3751,0.9666054716961454,0.7025496404177067,0.9977123514669115,0.996721721109931,0.7622824170393869,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
arc,joint,elastic_net,19,val,419,0.969187921967326,0.7261285036032439,0.9976556253220501,0.9961316516357116,0.7622824170393869,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
arc,joint,gam,7,test,464,1.0022189749083565,0.6855601807527592,0.9976398789590653,0.9968025330896668,0.47813425003550947,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,joint,gam,7,train,3751,0.916120219476293,0.6479649836356082,0.9979452271664981,0.997093396242812,0.47813425003550947,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,joint,gam,7,val,419,0.9396456211521398,0.6777719971207624,0.9977944707856143,0.9964597344350515,0.47813425003550947,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,joint,gam,11,test,464,1.0022189749083565,0.6855601807527592,0.9976398789590653,0.9968025330896668,0.47475454199593514,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,joint,gam,11,train,3751,0.916120219476293,0.6479649836356082,0.9979452271664981,0.997093396242812,0.47475454199593514,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
