benchmark_id,model_type,method,seed,split,row_count,rmse,mae,pearson_r,spearman_r,runtime_seconds,skipped,skip_reason,hyperparameters
dense_b1,marginal,elastic_net,7,test,9,,,,,0.021675124997273088,False,,"{""alpha"": 0.1, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
dense_b1,marginal,elastic_net,7,train,97,,,,,0.021675124997273088,False,,"{""alpha"": 0.1, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
dense_b1,marginal,elastic_net,7,val,13,,,,,0.021675124997273088,False,,"{""alpha"": 0.1, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
dense_b1,marginal,elastic_net,11,test,9,,,,,0.021820374997332692,False,,"{""alpha"": 0.1, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
dense_b1,marginal,elastic_net,11,train,97,,,,,0.021820374997332692,False,,"{""alpha"": 0.1, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
dense_b1,marginal,elastic_net,11,val,13,,,,,0.021820374997332692,False,,"{""alpha"": 0.1, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
dense_b1,marginal,elastic_net,19,test,9,,,,,0.02191304205916822,False,,"{""alpha"": 0.01, ""cv_folds"": 5, ""l1_ratio"": 0.1}"
dense_b1,marginal,elastic_net,19,train,97,,,,,0.02191304205916822,False,,"{""alpha"": 0.01, ""cv_folds"": 5, ""l1_ratio"": 0.1}"
dense_b1,marginal,elastic_net,19,val,13,,,,,0.02191304205916822,False,,"{""alpha"": 0.01, ""cv_folds"": 5, ""l1_ratio"": 0.1}"
dense_b1,marginal,gam,7,test,9,,,,,0.04731029202230275,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
dense_b1,marginal,gam,7,train,97,,,,,0.04731029202230275,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
dense_b1,marginal,gam,7,val,13,,,,,0.04731029202230275,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
dense_b1,marginal,gam,11,test,9,,,,,0.04527345800306648,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
dense_b1,marginal,gam,11,train,97,,,,,0.04527345800306648,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
dense_b1,marginal,gam,11,val,13,,,,,0.04527345800306648,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
dense_b1,marginal,gam,19,test,9,,,,,0.04510670795571059,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
dense_b1,marginal,gam,19,train,97,,,,,0.04510670795571059,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
dense_b1,marginal,gam,19,val,13,,,,,0.04510670795571059,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
dense_b1,marginal,xgboost,7,test,9,,,,,0.08876283408608288,False,,"{""cv_folds"": 5, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 120}"
dense_b1,marginal,xgboost,7,train,97,,,,,0.08876283408608288,False,,"{""cv_folds"": 5, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 120}"
dense_b1,marginal,xgboost,7,val,13,,,,,0.08876283408608288,False,,"{""cv_folds"": 5, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 120}"
dense_b1,marginal,xgboost,11,test,9,,,,,0.08588983293157071,False,,"{""cv_folds"": 5, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 80}"
dense_b1,marginal,xgboost,11,train,97,,,,,0.08588983293157071,False,,"{""cv_folds"": 5, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 80}"
dense_b1,marginal,xgboost,11,val,13,,,,,0.08588983293157071,False,,"{""cv_folds"": 5, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 80}"
dense_b1,marginal,xgboost,19,test,9,,,,,0.08669987495522946,False,,"{""cv_folds"": 5, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 120}"
dense_b1,marginal,xgboost,19,train,97,,,,,0.08669987495522946,False,,"{""cv_folds"": 5, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 120}"
dense_b1,marginal,xgboost,19,val,13,,,,,0.08669987495522946,False,,"{""cv_folds"": 5, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 120}"
dense_b2,marginal,elastic_net,7,test,13,,,,,0.02455737499985844,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
dense_b2,marginal,elastic_net,7,train,101,,,,,0.02455737499985844,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
dense_b2,marginal,elastic_net,7,val,12,,,,,0.02455737499985844,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
dense_b2,marginal,elastic_net,11,test,13,,,,,0.023843917064368725,False,,"{""alpha"": 0.1, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
dense_b2,marginal,elastic_net,11,train,101,,,,,0.023843917064368725,False,,"{""alpha"": 0.1, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
dense_b2,marginal,elastic_net,11,val,12,,,,,0.023843917064368725,False,,"{""alpha"": 0.1, ""cv_folds"": 5, ""l1_ratio"": 0.5}"
dense_b2,marginal,elastic_net,19,test,13,,,,,0.023866417002864182,False,,"{""alpha"": 0.01, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
dense_b2,marginal,elastic_net,19,train,101,,,,,0.023866417002864182,False,,"{""alpha"": 0.01, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
