search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,is_baseline,run_count,benchmark_rows,benchmark_count,best_available_test_rmse_mean,best_available_test_rmse_std,best_available_test_mae_mean,best_available_test_mae_std,best_available_test_pearson_mean,best_available_test_spearman_mean,retained_items_mean,retained_items_std,selected_items_final_mean,selected_items_preselect_mean,retained_models_mean,run_runtime_mean_seconds,stage01_runtime_mean_seconds,stage04_runtime_mean_seconds,stage09_runtime_mean_seconds,run_warning_count_mean,benchmark_warning_count_mean,refused_benchmark_count,joint_available_rate,seed_rmse_std,final_selection_stability_mean,preselect_selection_stability_mean,final_selection_stability_min,preselect_selection_stability_min,final_selection_instability,rmse_rank_within_dataset_stage,strategy_id,strategy_label,benchmark_total,benchmark_coverage_rate,refusal_rate,best_available_benchmark_rate,method_rank_within_dataset_stage
compact_validation,compact_validation_fixture,compact validation fixture,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,True,3,9,3,13.941838657876849,3.1564789441533287,11.232083627186084,2.3961580810833976,0.8558027070805807,0.8454229994830418,7.0,0.0,3.0,4.0,60.0,2.0094774708074206,0.038551096649219595,0.08669834700413048,1.0147164860197033,6.0,1.0,0,1.0,1.6493971956203828,0.8888888888888888,1.0,0.5,1.0,0.11111111111111116,1.0,baseline_current__deterministic_info,baseline_current + deterministic_info,3,1.0,0.0,1.0,1
compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,False,3,9,3,13.941838657876849,3.1564789441533287,11.232083627186084,2.3961580810833976,0.8558027070805807,0.8454229994830418,7.0,0.0,3.0,4.0,60.0,2.0341561255433285,0.038808430661447346,0.08716400033639123,1.024827180352683,6.0,1.0,0,1.0,1.6493971956203828,0.8888888888888888,1.0,0.5,1.0,0.11111111111111116,1.0,reconstruction_relaxed__deterministic_info,winner,3,1.0,0.0,1.0,1
compact_validation,compact_validation_fixture,compact validation fixture,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,True,3,9,3,13.94669622310069,3.6822859617601282,11.876777591803869,3.220445373614299,0.8610495639926308,0.8520729130136019,7.0,0.0,3.0,4.0,60.0,2.644440875000631,0.03799386132353296,0.7186675283592194,0.982738347336029,6.0,1.0,0,1.0,2.0381938714527097,0.4222222222222222,0.5343915343915344,0.2,0.14285714285714285,0.5777777777777777,1.0,baseline_current__random_cv,default,3,1.0,0.0,1.0,2
compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,False,3,9,3,13.94669622310069,3.6822859617601282,11.876777591803869,3.220445373614299,0.8610495639926308,0.8520729130136019,7.0,0.0,3.0,4.0,60.0,2.6233590005043275,0.03835800033994019,0.7210126113301764,0.9828457776845122,6.0,1.0,0,1.0,2.0381938714527097,0.4222222222222222,0.5343915343915344,0.2,0.14285714285714285,0.5777777777777777,1.0,reconstruction_relaxed__random_cv,reconstruction_relaxed + random_cv,3,1.0,0.0,1.0,2
real_generalization,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,minimal cleaning challenger with softer item-count floor,deterministic_info,False,3,18,6,0.8954542106651314,0.22161416849635812,0.6018628930010056,0.22368853639136524,0.9980751370418299,0.9973768912548847,350.0,0.0,250.0,350.0,5583.5,272.6857975261519,53.59255726328896,6.146726999664679,6.25486263865605,14.0,0.0,0,1.0,0.02204518618780841,0.9428384381902152,1.0,0.8939393939393939,1.0,0.05716156180978482,1.0,minimal_cleaning__deterministic_info,challenger,6,1.0,0.0,1.0,1
real_generalization,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,False,3,18,6,0.8954542106651314,0.22161416849635812,0.6018628930010056,0.22368853639136524,0.9980751370418299,0.9973768912548847,350.0,0.0,250.0,350.0,5583.5,264.56358047369093,50.84651711132998,5.76923894470868,5.892948360997252,14.0,0.0,0,1.0,0.02204518618780841,0.9428384381902152,1.0,0.8939393939393939,1.0,0.05716156180978482,1.0,reconstruction_relaxed__deterministic_info,winner,6,1.0,0.0,1.0,1
real_generalization,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,False,3,18,6,0.8954542106651314,0.22161416849635812,0.6018628930010056,0.22368853639136524,0.9980751370418299,0.9973768912548847,350.0,0.0,250.0,350.0,5583.5,310.7318880414435,59.99949327770931,37.17964879167266,6.092780000374963,14.0,0.0,0,1.0,0.02204518618780841,0.9428384381902152,1.0,0.8939393939393939,1.0,0.05716156180978482,1.0,reconstruction_relaxed__random_cv,reconstruction_relaxed + random_cv,6,1.0,0.0,1.0,1
real_generalization,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,True,3,18,6,1.0557665601539994,0.24744440893848907,0.7698802436218926,0.21410585894508596,0.9981160170423539,0.996571110455405,348.1666666666667,1.9174124721184298,125.0,175.0,5578.166666666667,166.35831944543557,50.622886958299205,2.9520772643542537,1.0283248610406492,22.0,0.0,0,0.0,0.028003777641305988,0.9707036069012446,1.0,0.9157088122605364,1.0,0.029296393098755424,2.0,baseline_current__deterministic_info,baseline_current + deterministic_info,6,1.0,0.0,0.5,2
real_generalization,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,True,3,18,6,1.0557665601539994,0.24744440893848907,0.7698802436218926,0.21410585894508596,0.9981160170423539,0.996571110455405,348.1666666666667,1.9174124721184298,125.0,175.0,5578.166666666667,192.6529734293775,51.75704881929172,17.556439763633534,1.1427536386763677,22.0,0.0,0,0.0,0.028003777641305988,0.9707036069012446,1.0,0.9157088122605364,1.0,0.029296393098755424,2.0,baseline_current__random_cv,default,6,1.0,0.0,0.5,2
synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,minimal_cleaning,minimal_cleaning,minimal cleaning challenger with softer item-count floor,deterministic_info,False,3,15,5,4.8981117164568095,1.28323452984968,3.8361425737890813,0.9446930709822898,0.9461654371502984,0.9183930269133259,120.0,0.0,45.0,70.0,320.0,9.649296832348531,1.2259671109883736,0.31350868102163076,0.952984430322734,17.0,0.0,0,0.0,0.48293420893925904,0.8087062572921582,1.0,0.6981132075471698,1.0,0.19129374270784183,1.0,minimal_cleaning__deterministic_info,challenger,5,1.0,0.0,1.0,1
