run_signature,dataset_id,dataset_label,backend,seed,benchmark_id,marginal_test_rmse,joint_test_rmse,best_available_test_rmse,best_available_model_type,joint_available
compact_validation_fixture__girth__seed_7,compact_validation_fixture,compact validation fixture,girth,7,b1,18.30675127166344,18.434243650378143,18.434243650378143,joint,True
compact_validation_fixture__girth__seed_7,compact_validation_fixture,compact validation fixture,girth,7,b2,10.367677784628935,12.71803276182826,12.71803276182826,joint,True
compact_validation_fixture__girth__seed_7,compact_validation_fixture,compact validation fixture,girth,7,b3,10.495484247014602,10.107254821002481,10.107254821002481,joint,True
compact_validation_fixture__girth__seed_11,compact_validation_fixture,compact validation fixture,girth,11,b1,11.09043169803263,10.121121697368329,10.121121697368329,joint,True
compact_validation_fixture__girth__seed_11,compact_validation_fixture,compact validation fixture,girth,11,b2,15.326342507285279,15.468090743441318,15.468090743441318,joint,True
compact_validation_fixture__girth__seed_11,compact_validation_fixture,compact validation fixture,girth,11,b3,12.757969223254358,11.595441118872182,11.595441118872182,joint,True
compact_validation_fixture__girth__seed_19,compact_validation_fixture,compact validation fixture,girth,19,b1,19.952644203944917,18.37187396163962,18.37187396163962,joint,True
compact_validation_fixture__girth__seed_19,compact_validation_fixture,compact validation fixture,girth,19,b2,14.839334904726634,15.024363398274039,15.024363398274039,joint,True
compact_validation_fixture__girth__seed_19,compact_validation_fixture,compact validation fixture,girth,19,b3,11.79990587864567,13.636125768087261,13.636125768087261,joint,True
large_release_default_subset__girth__seed_7,large_release_default_subset,large release-default subset,girth,7,arc,1.068993503422328,1.0089852079951367,1.0089852079951367,joint,True
large_release_default_subset__girth__seed_7,large_release_default_subset,large release-default subset,girth,7,gsm8k,1.296897208594473,1.2500343990177065,1.2500343990177065,joint,True
large_release_default_subset__girth__seed_7,large_release_default_subset,large release-default subset,girth,7,hellaswag,0.5325465468608774,0.5166690681119107,0.5166690681119107,joint,True
large_release_default_subset__girth__seed_7,large_release_default_subset,large release-default subset,girth,7,mmlu,0.9785983878556553,0.9747531198726117,0.9747531198726117,joint,True
large_release_default_subset__girth__seed_7,large_release_default_subset,large release-default subset,girth,7,truthfulqa,0.8923190808756121,0.8774496413594824,0.8774496413594824,joint,True
large_release_default_subset__girth__seed_7,large_release_default_subset,large release-default subset,girth,7,winogrande,0.8137297750628951,0.7805357279440347,0.7805357279440347,joint,True
large_release_default_subset__girth__seed_11,large_release_default_subset,large release-default subset,girth,11,arc,1.1036265684924658,1.0042750775308042,1.0042750775308042,joint,True
large_release_default_subset__girth__seed_11,large_release_default_subset,large release-default subset,girth,11,gsm8k,1.3263512745532657,1.2536850485979714,1.2536850485979714,joint,True
large_release_default_subset__girth__seed_11,large_release_default_subset,large release-default subset,girth,11,hellaswag,0.5569686205069746,0.5053398176170331,0.5053398176170331,joint,True
large_release_default_subset__girth__seed_11,large_release_default_subset,large release-default subset,girth,11,mmlu,0.9147072865086268,0.9121888288932685,0.9121888288932685,joint,True
large_release_default_subset__girth__seed_11,large_release_default_subset,large release-default subset,girth,11,truthfulqa,0.8391001578171826,0.8157389450727858,0.8157389450727858,joint,True
large_release_default_subset__girth__seed_11,large_release_default_subset,large release-default subset,girth,11,winogrande,0.8353728731025398,0.7280000905091287,0.7280000905091287,joint,True
large_release_default_subset__girth__seed_19,large_release_default_subset,large release-default subset,girth,19,arc,1.1350757550888535,1.041369968668324,1.041369968668324,joint,True
large_release_default_subset__girth__seed_19,large_release_default_subset,large release-default subset,girth,19,gsm8k,1.2937189877861728,1.2363614705217802,1.2363614705217802,joint,True
large_release_default_subset__girth__seed_19,large_release_default_subset,large release-default subset,girth,19,hellaswag,0.6094693807807529,0.560730777079085,0.560730777079085,joint,True
large_release_default_subset__girth__seed_19,large_release_default_subset,large release-default subset,girth,19,mmlu,0.8305302861789885,0.8286611016701092,0.8286611016701092,joint,True
large_release_default_subset__girth__seed_19,large_release_default_subset,large release-default subset,girth,19,truthfulqa,0.8474929970703167,0.833348344264731,0.833348344264731,joint,True
large_release_default_subset__girth__seed_19,large_release_default_subset,large release-default subset,girth,19,winogrande,0.763251192852151,0.6868739747882391,0.6868739747882391,joint,True
synthetic_dense_overlap__girth__seed_7,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,7,dense_b1,6.940099995532185,,6.940099995532185,marginal,False
synthetic_dense_overlap__girth__seed_7,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,7,dense_b2,4.853579362312547,,4.853579362312547,marginal,False
synthetic_dense_overlap__girth__seed_7,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,7,dense_b3,3.9167668004052305,,3.9167668004052305,marginal,False
synthetic_dense_overlap__girth__seed_7,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,7,dense_b4,5.667745612216587,,5.667745612216587,marginal,False
synthetic_dense_overlap__girth__seed_7,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,7,dense_b5,6.126205932545572,,6.126205932545572,marginal,False
synthetic_dense_overlap__girth__seed_11,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,11,dense_b1,4.715127305958533,,4.715127305958533,marginal,False
synthetic_dense_overlap__girth__seed_11,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,11,dense_b2,4.705047161979789,,4.705047161979789,marginal,False
synthetic_dense_overlap__girth__seed_11,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,11,dense_b3,5.899891980943967,,5.899891980943967,marginal,False
synthetic_dense_overlap__girth__seed_11,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,11,dense_b4,3.789198723018046,,3.789198723018046,marginal,False
synthetic_dense_overlap__girth__seed_11,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,11,dense_b5,5.235779234508347,,5.235779234508347,marginal,False
synthetic_dense_overlap__girth__seed_19,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,19,dense_b1,4.830309396495604,,4.830309396495604,marginal,False
synthetic_dense_overlap__girth__seed_19,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,19,dense_b2,5.6638195572057946,,5.6638195572057946,marginal,False
synthetic_dense_overlap__girth__seed_19,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,19,dense_b3,5.57006282724365,,5.57006282724365,marginal,False
synthetic_dense_overlap__girth__seed_19,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,19,dense_b4,5.551593787094039,,5.551593787094039,marginal,False
synthetic_dense_overlap__girth__seed_19,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,19,dense_b5,2.693183809753496,,2.693183809753496,marginal,False
synthetic_sparse_overlap__girth__seed_7,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,7,sparse_b1,,,,,False
synthetic_sparse_overlap__girth__seed_7,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,7,sparse_b2,,,,,False
synthetic_sparse_overlap__girth__seed_7,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,7,sparse_b3,,,,,False
synthetic_sparse_overlap__girth__seed_7,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,7,sparse_b4,,,,,False
synthetic_sparse_overlap__girth__seed_7,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,7,sparse_b5,,,,,False
synthetic_sparse_overlap__girth__seed_7,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,7,sparse_b6,,,,,False
synthetic_sparse_overlap__girth__seed_11,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,11,sparse_b1,,,,,False
synthetic_sparse_overlap__girth__seed_11,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,11,sparse_b2,,,,,False
synthetic_sparse_overlap__girth__seed_11,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,11,sparse_b3,,,,,False
synthetic_sparse_overlap__girth__seed_11,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,11,sparse_b4,,,,,False
synthetic_sparse_overlap__girth__seed_11,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,11,sparse_b5,,,,,False
synthetic_sparse_overlap__girth__seed_11,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,11,sparse_b6,,,,,False
synthetic_sparse_overlap__girth__seed_19,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,19,sparse_b1,,,,,False
synthetic_sparse_overlap__girth__seed_19,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,19,sparse_b2,,,,,False
synthetic_sparse_overlap__girth__seed_19,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,19,sparse_b3,,,,,False
synthetic_sparse_overlap__girth__seed_19,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,19,sparse_b4,,,,,False
synthetic_sparse_overlap__girth__seed_19,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,19,sparse_b5,,,,,False
synthetic_sparse_overlap__girth__seed_19,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,19,sparse_b6,,,,,False
