run_signature,run_id,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,run_root,config_path,metrics_path,run_runtime_seconds,stage01_runtime_seconds,stage04_runtime_seconds,stage09_runtime_seconds,warning_count,drop_low_tail_models_quantile,min_item_sd,max_item_mean,min_abs_point_biserial,min_models_per_item,min_item_coverage
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7/reports/metrics.json,22.891331123188138,1.1645827080355957,5.278461082954891,7.798027165932581,6,0.001,0.01,0.95,0.05,40,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7/reports/metrics.json,19.978310624836013,1.1376032079569995,0.7059589170385152,7.783889707992785,6,0.001,0.01,0.95,0.05,40,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7/reports/metrics.json,25.485831832978874,1.5535631250822917,6.271247708005831,7.797361291944981,6,0.002,0.0,0.99,0.0,40,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7/reports/metrics.json,23.85019141691737,1.6150350000243634,1.2444819579832256,7.540823791990988,6,0.002,0.0,0.99,0.0,40,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first_relaxed::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first_relaxed__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first_relaxed,reconstruction_first_relaxed,reconstruction-first without the low-tail trim,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first_relaxed__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first_relaxed__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first_relaxed__deterministic_info__seed-7/reports/metrics.json,24.84786337404512,1.7270499169826508,0.793197000049986,10.392676708986983,6,0.0,0.0,0.99,0.0,40,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::minimal_cleaning::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__minimal_cleaning__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),minimal_cleaning,minimal_cleaning,minimal cleaning challenger,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__minimal_cleaning__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__minimal_cleaning__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__minimal_cleaning__deterministic_info__seed-7/reports/metrics.json,19.86415508389473,1.9937832499854267,1.3889391249977052,6.056413292069919,6,0.0,0.0,1.0,0.0,1,0.7
portfolio_optimize::openeval__hf_94f8112_20260314::psychometric_default::random_cv::seed-7,portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__random_cv__seed-7,portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__random_cv__seed-7/reports/metrics.json,13.460122372955084,0.5945210830541328,3.494408000027761,4.290917707956396,6,0.001,0.01,0.95,0.05,15,0.8
portfolio_optimize::openeval__hf_94f8112_20260314::psychometric_default::deterministic_info::seed-7,portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__deterministic_info__seed-7,portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__deterministic_info__seed-7/reports/metrics.json,10.158030209247954,0.6968075420008972,0.37597087502945215,3.8091767500154674,7,0.001,0.01,0.95,0.05,15,0.8
portfolio_optimize::openeval__hf_94f8112_20260314::reconstruction_first::random_cv::seed-7,portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__random_cv__seed-7,portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__random_cv__seed-7/reports/metrics.json,14.066804542206228,0.6032639170298353,3.643384875031188,3.8700577500276268,7,0.002,0.0,0.99,0.0,15,0.7
portfolio_optimize::openeval__hf_94f8112_20260314::reconstruction_first::deterministic_info::seed-7,portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__deterministic_info__seed-7,portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),reconstruction_first,reconstruction_first,current reconstruction-first defaults,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_007_helm24_22_ollb40_40/standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__deterministic_info__seed-7/reports/metrics.json,12.219651665887795,0.5770888749975711,0.3641963329864666,5.1445188749348745,7,0.002,0.0,0.99,0.0,15,0.7
