profile_id,k_final,best_available_test_rmse_mean,best_available_test_mae_mean,selected_items_final_mean,selected_items_preselect_mean,joint_available_rate,benchmark_warning_count_mean
psychometric_default,26,3.2748893475326417,2.6850182286804953,26.0,36.75,1.0,0.0
minimal_cleaning,22,3.405173460114152,3.083470511238499,22.0,36.75,1.0,0.0
reconstruction_first,22,3.405173460114152,3.083470511238499,22.0,36.75,1.0,0.0
reconstruction_first_relaxed,22,3.405173460114152,3.083470511238499,22.0,36.75,1.0,0.0
psychometric_default,22,3.4455867022141073,2.8894333838173774,22.0,36.75,1.0,0.0
minimal_cleaning,26,3.825528622538102,3.005315919375651,26.0,36.75,1.0,0.0
reconstruction_first,26,3.825528622538102,3.005315919375651,26.0,36.75,1.0,0.0
reconstruction_first_relaxed,26,3.825528622538102,3.005315919375651,26.0,36.75,1.0,0.0
minimal_cleaning,18,5.943128465368421,4.939969507892916,18.0,36.75,1.0,1.0
reconstruction_first,18,5.943128465368421,4.939969507892916,18.0,36.75,1.0,1.0
reconstruction_first_relaxed,18,5.943128465368421,4.939969507892916,18.0,36.75,1.0,1.0
minimal_cleaning,14,6.688506014746647,5.067274048074115,14.0,36.75,1.0,1.0
reconstruction_first,14,6.688506014746647,5.067274048074115,14.0,36.75,1.0,1.0
reconstruction_first_relaxed,14,6.688506014746647,5.067274048074115,14.0,36.75,1.0,1.0
psychometric_default,18,7.0360422653154675,5.468493129909431,18.0,36.75,1.0,1.0
psychometric_default,14,7.065245207416018,5.54796222261124,14.0,36.75,1.0,1.0
