run_signature,run_id,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,run_root,config_path,metrics_path,run_runtime_seconds,stage01_runtime_seconds,stage04_runtime_seconds,stage09_runtime_seconds,warning_count,drop_low_tail_models_quantile,min_item_sd,max_item_mean,min_abs_point_biserial,min_models_per_item,min_item_coverage
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7/reports/metrics.json,17.866995083983056,1.2318746250821277,3.956553374999203,1.8677897499874234,15,0.001,0.01,0.95,0.05,40,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7/reports/metrics.json,11.844180293031968,1.248363042017445,0.49503470805939287,1.753126124967821,15,0.001,0.01,0.95,0.05,40,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7/reports/metrics.json,25.771910874871537,1.218126374995336,5.916732458979823,6.4649835410527885,7,0.002,0.0,0.99,0.0,40,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7/reports/metrics.json,20.431870334083214,1.2804371670354158,0.7537638330832124,6.515993709093891,7,0.002,0.0,0.99,0.0,40,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first_relaxed::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first_relaxed__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first_relaxed,reconstruction_first_relaxed,reconstruction-first without the low-tail trim,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first_relaxed__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first_relaxed__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first_relaxed__deterministic_info__seed-7/reports/metrics.json,20.322458207956515,1.2542202499462292,0.7680572499521077,6.425685832975432,7,0.0,0.0,0.99,0.0,40,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::minimal_cleaning::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__minimal_cleaning__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),minimal_cleaning,minimal_cleaning,minimal cleaning challenger,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__minimal_cleaning__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__minimal_cleaning__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__minimal_cleaning__deterministic_info__seed-7/reports/metrics.json,19.460025833104737,1.243548957980238,0.7584932079771534,6.255760000087321,7,0.0,0.0,1.0,0.0,1,0.7
portfolio_optimize::openeval__hf_94f8112_20260314::psychometric_default::random_cv::seed-7,portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__random_cv__seed-7,portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__random_cv__seed-7/reports/metrics.json,8.909671498928219,0.5833840409759432,2.770951749989763,1.395627084071748,13,0.001,0.01,0.95,0.05,15,0.8
portfolio_optimize::openeval__hf_94f8112_20260314::psychometric_default::deterministic_info::seed-7,portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__deterministic_info__seed-7,portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__psychometric_default__deterministic_info__seed-7/reports/metrics.json,6.306858625030145,0.6080469159642234,0.32609108404722065,1.210122084012255,13,0.001,0.01,0.95,0.05,15,0.8
portfolio_optimize::openeval__hf_94f8112_20260314::reconstruction_first::random_cv::seed-7,portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__random_cv__seed-7,portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__random_cv__seed-7/reports/metrics.json,8.306923791067675,0.5928016669349745,2.5077871250687167,1.2873448750469834,13,0.002,0.0,0.99,0.0,15,0.7
portfolio_optimize::openeval__hf_94f8112_20260314::reconstruction_first::deterministic_info::seed-7,portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__deterministic_info__seed-7,portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),reconstruction_first,reconstruction_first,current reconstruction-first defaults,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first__deterministic_info__seed-7/reports/metrics.json,6.00895812374074,0.5935534579912201,0.308585291961208,1.1640550419688225,13,0.002,0.0,0.99,0.0,15,0.7
portfolio_optimize::openeval__hf_94f8112_20260314::reconstruction_first_relaxed::deterministic_info::seed-7,portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first_relaxed__deterministic_info__seed-7,portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),reconstruction_first_relaxed,reconstruction_first_relaxed,reconstruction-first without the low-tail trim,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first_relaxed__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first_relaxed__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__reconstruction_first_relaxed__deterministic_info__seed-7/reports/metrics.json,6.145948333782144,0.5263324999250472,0.31487166706938297,1.2700147919822484,13,0.0,0.0,0.99,0.0,15,0.7
portfolio_optimize::openeval__hf_94f8112_20260314::minimal_cleaning::deterministic_info::seed-7,portfolio_optimize__openeval__hf_94f8112_20260314__minimal_cleaning__deterministic_info__seed-7,portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),minimal_cleaning,minimal_cleaning,minimal cleaning challenger,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__minimal_cleaning__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__minimal_cleaning__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__openeval__hf_94f8112_20260314__minimal_cleaning__deterministic_info__seed-7/reports/metrics.json,6.096197500126436,0.6135647499468178,0.3200225420296192,1.2542050830088556,13,0.0,0.0,1.0,0.0,1,0.7
portfolio_optimize::helm_objective__capabilities_v1_0_0::psychometric_default::random_cv::seed-7,portfolio_optimize__helm_objective__capabilities_v1_0_0__psychometric_default__random_cv__seed-7,portfolio_optimize,helm_objective__capabilities_v1_0_0,HELM objective subset (HELM Capabilities v1.0.0 objective subset),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__psychometric_default__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__psychometric_default__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__psychometric_default__random_cv__seed-7/reports/metrics.json,6.166314000962302,0.27373720798641443,1.6445855420315638,1.7737807090161368,5,0.001,0.01,0.95,0.05,10,0.8
portfolio_optimize::helm_objective__capabilities_v1_0_0::psychometric_default::deterministic_info::seed-7,portfolio_optimize__helm_objective__capabilities_v1_0_0__psychometric_default__deterministic_info__seed-7,portfolio_optimize,helm_objective__capabilities_v1_0_0,HELM objective subset (HELM Capabilities v1.0.0 objective subset),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__psychometric_default__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__psychometric_default__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__psychometric_default__deterministic_info__seed-7/reports/metrics.json,3.91192079114262,0.27662541600875556,0.183807916007936,1.7169569589896128,5,0.001,0.01,0.95,0.05,10,0.8
portfolio_optimize::helm_objective__capabilities_v1_0_0::reconstruction_first::random_cv::seed-7,portfolio_optimize__helm_objective__capabilities_v1_0_0__reconstruction_first__random_cv__seed-7,portfolio_optimize,helm_objective__capabilities_v1_0_0,HELM objective subset (HELM Capabilities v1.0.0 objective subset),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__reconstruction_first__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__reconstruction_first__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__reconstruction_first__random_cv__seed-7/reports/metrics.json,6.012042291928083,0.27268095791805536,1.669077833998017,1.7996798339299858,4,0.002,0.0,0.99,0.0,10,0.7
portfolio_optimize::helm_objective__capabilities_v1_0_0::reconstruction_first::deterministic_info::seed-7,portfolio_optimize__helm_objective__capabilities_v1_0_0__reconstruction_first__deterministic_info__seed-7,portfolio_optimize,helm_objective__capabilities_v1_0_0,HELM objective subset (HELM Capabilities v1.0.0 objective subset),reconstruction_first,reconstruction_first,current reconstruction-first defaults,deterministic_info,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__reconstruction_first__deterministic_info__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__reconstruction_first__deterministic_info__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_standing/optimization_matrix/workdir/workdir/portfolio_optimize__helm_objective__capabilities_v1_0_0__reconstruction_first__deterministic_info__seed-7/reports/metrics.json,4.017020459054038,0.2928056250093505,0.18569779198151082,1.7518632090650499,5,0.002,0.0,0.99,0.0,10,0.7
