search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,is_baseline,benchmark_id,selection_stage,pairwise_jaccard_mean,pairwise_jaccard_min,seed_count
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,arc,final,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,arc,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,gsm8k,final,0.9506312699498404,0.937984496124031,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,gsm8k,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,hellaswag,final,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,hellaswag,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,mmlu,final,0.9430116932605395,0.937984496124031,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,mmlu,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,truthfulqa,final,0.930578678197087,0.9157088122605364,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,truthfulqa,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,winogrande,final,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,deterministic_info,True,winogrande,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,arc,final,0.9531448685180947,0.9455252918287937,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,arc,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,gsm8k,final,0.9711178278953215,0.9607843137254902,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,gsm8k,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,hellaswag,final,0.9035962968701923,0.8939393939393939,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,hellaswag,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,mmlu,final,0.943031330749354,0.937984496124031,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,mmlu,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,truthfulqa,final,0.9431089743589745,0.9230769230769231,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,truthfulqa,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,winogrande,final,0.943031330749354,0.937984496124031,3
large_confirmation,large_release_default_subset,large release-default real-data subset,minimal_cleaning,minimal_cleaning,"minimal cleaning under the current spec floor: no low-tail, no variance, no ceiling, no discrimination, soft model coverage",deterministic_info,False,winogrande,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,arc,final,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,arc,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,gsm8k,final,0.9633979662352425,0.953125,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,gsm8k,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,hellaswag,final,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,hellaswag,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,mmlu,final,0.9305211165676281,0.9230769230769231,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,mmlu,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,truthfulqa,final,0.9305211165676281,0.9230769230769231,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,truthfulqa,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,winogrande,final,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,no_low_tail,low_tail_toggle,disable low-tail model trimming on the large bundle,deterministic_info,False,winogrande,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",deterministic_info,False,arc,final,0.9531448685180947,0.9455252918287937,3
large_confirmation,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",deterministic_info,False,arc,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",deterministic_info,False,gsm8k,final,0.9711178278953215,0.9607843137254902,3
large_confirmation,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",deterministic_info,False,gsm8k,preselect,1.0,1.0,3
large_confirmation,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",deterministic_info,False,hellaswag,final,0.9035962968701923,0.8939393939393939,3
large_confirmation,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",deterministic_info,False,hellaswag,preselect,1.0,1.0,3
