search_stage,dataset_id,dataset_label,source_path,profile_id,family,description,preselection_method,seed,is_baseline,requested_drop_low_tail_models_quantile,requested_min_item_sd,requested_max_item_mean,requested_min_abs_point_biserial,requested_min_models_per_item,requested_min_item_coverage
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,reconstruction_relaxed,promoted_current,current promoted preprocessing profile,deterministic_info,7,True,0.0,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,reconstruction_relaxed,promoted_current,current promoted preprocessing profile,deterministic_info,11,True,0.0,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,reconstruction_relaxed,promoted_current,current promoted preprocessing profile,deterministic_info,19,True,0.0,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_001,winner_low_tail,winner plus spec-sized low-tail trimming,deterministic_info,7,False,0.001,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_001,winner_low_tail,winner plus spec-sized low-tail trimming,deterministic_info,11,False,0.001,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_001,winner_low_tail,winner plus spec-sized low-tail trimming,deterministic_info,19,False,0.001,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_0005,winner_low_tail,winner plus very light low-tail trimming,deterministic_info,7,False,0.0005,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_0005,winner_low_tail,winner plus very light low-tail trimming,deterministic_info,11,False,0.0005,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_0005,winner_low_tail,winner plus very light low-tail trimming,deterministic_info,19,False,0.0005,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_0005_pb_002,winner_combo,winner plus very light low-tail trimming and a soft point-biserial floor,deterministic_info,7,False,0.0005,0.0,0.99,0.02,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_0005_pb_002,winner_combo,winner plus very light low-tail trimming and a soft point-biserial floor,deterministic_info,11,False,0.0005,0.0,0.99,0.02,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_0005_pb_002,winner_combo,winner plus very light low-tail trimming and a soft point-biserial floor,deterministic_info,19,False,0.0005,0.0,0.99,0.02,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_002,winner_low_tail,winner plus a slightly stronger low-tail trim,deterministic_info,7,False,0.002,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_002,winner_low_tail,winner plus a slightly stronger low-tail trim,deterministic_info,11,False,0.002,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,out/metabench_real_source/release_default_subset_responses_long.parquet,relaxed_low_tail_002,winner_low_tail,winner plus a slightly stronger low-tail trim,deterministic_info,19,False,0.002,0.0,0.99,0.0,50,0.7
