run_signature,run_id,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,run_runtime_seconds,stage01_runtime_seconds,stage04_runtime_seconds,stage09_runtime_seconds,warning_count,drop_low_tail_models_quantile,min_item_sd,max_item_mean,min_abs_point_biserial,min_models_per_item,min_item_coverage
real_confirmation_multi_seed::large_release_default_subset::reconstruction_relaxed::deterministic_info::seed-7,real_confirmation_multi_seed__large_release_default_subset__reconstruction_relaxed__deterministic_info__seed-7,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,promoted_current,current promoted preprocessing profile,deterministic_info,7,True,303.5380718318047,68.27686808304861,6.31319016602356,5.896994167007506,14,0.0,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed::large_release_default_subset::reconstruction_relaxed::deterministic_info::seed-11,real_confirmation_multi_seed__large_release_default_subset__reconstruction_relaxed__deterministic_info__seed-11,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,promoted_current,current promoted preprocessing profile,deterministic_info,11,True,267.3405206241878,50.51171904208604,5.808979333029129,5.798772624926642,14,0.0,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed::large_release_default_subset::reconstruction_relaxed::deterministic_info::seed-19,real_confirmation_multi_seed__large_release_default_subset__reconstruction_relaxed__deterministic_info__seed-19,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,promoted_current,current promoted preprocessing profile,deterministic_info,19,True,258.897353501874,50.388207916985266,5.802528084022924,5.855259791947901,14,0.0,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed::large_release_default_subset::relaxed_low_tail_001::deterministic_info::seed-7,real_confirmation_multi_seed__large_release_default_subset__relaxed_low_tail_001__deterministic_info__seed-7,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_001,winner_low_tail,winner plus spec-sized low-tail trimming,deterministic_info,7,False,275.71900654095225,50.17255995806772,5.799255291000009,7.352469124947675,14,0.001,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed::large_release_default_subset::relaxed_low_tail_001::deterministic_info::seed-11,real_confirmation_multi_seed__large_release_default_subset__relaxed_low_tail_001__deterministic_info__seed-11,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_001,winner_low_tail,winner plus spec-sized low-tail trimming,deterministic_info,11,False,329.9645732102217,71.71934979199432,6.977644375059754,5.835276083089411,14,0.001,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed::large_release_default_subset::relaxed_low_tail_001::deterministic_info::seed-19,real_confirmation_multi_seed__large_release_default_subset__relaxed_low_tail_001__deterministic_info__seed-19,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_001,winner_low_tail,winner plus spec-sized low-tail trimming,deterministic_info,19,False,280.764283166267,53.01616962510161,5.841698833974078,6.320236875093542,14,0.001,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed::large_release_default_subset::relaxed_low_tail_0005::deterministic_info::seed-7,real_confirmation_multi_seed__large_release_default_subset__relaxed_low_tail_0005__deterministic_info__seed-7,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_0005,winner_low_tail,winner plus very light low-tail trimming,deterministic_info,7,False,293.9974348334363,60.91810279106721,6.476904000039212,7.615133459097706,14,0.0005,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed::large_release_default_subset::relaxed_low_tail_0005::deterministic_info::seed-11,real_confirmation_multi_seed__large_release_default_subset__relaxed_low_tail_0005__deterministic_info__seed-11,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_0005,winner_low_tail,winner plus very light low-tail trimming,deterministic_info,11,False,293.5132065829821,65.11465825000778,6.27696249994915,5.800512416986749,14,0.0005,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed::large_release_default_subset::relaxed_low_tail_0005::deterministic_info::seed-19,real_confirmation_multi_seed__large_release_default_subset__relaxed_low_tail_0005__deterministic_info__seed-19,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_0005,winner_low_tail,winner plus very light low-tail trimming,deterministic_info,19,False,259.97833345877007,50.75033458392136,5.78648816596251,5.777141832979396,14,0.0005,0.0,0.99,0.0,50,0.7
real_confirmation_multi_seed::large_release_default_subset::relaxed_low_tail_0005_pb_002::deterministic_info::seed-7,real_confirmation_multi_seed__large_release_default_subset__relaxed_low_tail_0005_pb_002__deterministic_info__seed-7,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_0005_pb_002,winner_combo,winner plus very light low-tail trimming and a soft point-biserial floor,deterministic_info,7,False,264.57898895896506,49.67814504192211,5.799207584001124,5.794803916011006,14,0.0005,0.0,0.99,0.02,50,0.7
real_confirmation_multi_seed::large_release_default_subset::relaxed_low_tail_0005_pb_002::deterministic_info::seed-11,real_confirmation_multi_seed__large_release_default_subset__relaxed_low_tail_0005_pb_002__deterministic_info__seed-11,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_0005_pb_002,winner_combo,winner plus very light low-tail trimming and a soft point-biserial floor,deterministic_info,11,False,267.92657537723426,49.58539566700347,5.777624457958154,5.801036917022429,14,0.0005,0.0,0.99,0.02,50,0.7
real_confirmation_multi_seed::large_release_default_subset::relaxed_low_tail_0005_pb_002::deterministic_info::seed-19,real_confirmation_multi_seed__large_release_default_subset__relaxed_low_tail_0005_pb_002__deterministic_info__seed-19,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_0005_pb_002,winner_combo,winner plus very light low-tail trimming and a soft point-biserial floor,deterministic_info,19,False,258.68631058291066,49.359641082934104,5.797044667066075,5.796208124957047,14,0.0005,0.0,0.99,0.02,50,0.7
real_confirmation_multi_seed::large_release_default_subset::relaxed_low_tail_002::deterministic_info::seed-7,real_confirmation_multi_seed__large_release_default_subset__relaxed_low_tail_002__deterministic_info__seed-7,real_confirmation_multi_seed,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_002,winner_low_tail,winner plus a slightly stronger low-tail trim,deterministic_info,7,False,263.23282312392257,50.955149958026595,5.762009709025733,5.734566416009329,14,0.002,0.0,0.99,0.0,50,0.7
